fallout [ 0 ] . pos . y = -1.000000

start [ 0 ] . pos . x = -71.500000
start [ 0 ] . pos . y = 3.499997
start [ 0 ] . pos . z = 5.500000
start [ 0 ] . rot . x = 89.994507
start [ 0 ] . rot . y = 270.005493
start [ 0 ] . rot . z = 0.000000

goal [ 0 ] . pos . x = 44.500000
goal [ 0 ] . pos . y = 3.000000
goal [ 0 ] . pos . z = 5.500000
goal [ 0 ] . rot . x = 0.000000
goal [ 0 ] . rot . y = 270.005493
goal [ 0 ] . rot . z = 0.000000
goal [ 0 ] . type . x = B

goal [ 1 ] . pos . x = 28.000000
goal [ 1 ] . pos . y = 0.000000
goal [ 1 ] . pos . z = 18.500000
goal [ 1 ] . rot . x = 0.000000
goal [ 1 ] . rot . y = 270.005493
goal [ 1 ] . rot . z = 0.000000
goal [ 1 ] . type . x = G

banana [ 0 ] . pos . x = -50.000011
banana [ 0 ] . pos . y = 0.600000
banana [ 0 ] . pos . z = 17.500000
banana [ 0 ] . type . x = B

banana [ 1 ] . pos . x = -48.000011
banana [ 1 ] . pos . y = 0.600000
banana [ 1 ] . pos . z = 18.500000
banana [ 1 ] . type . x = B

banana [ 2 ] . pos . x = 21.999990
banana [ 2 ] . pos . y = 0.600000
banana [ 2 ] . pos . z = 18.500000
banana [ 2 ] . type . x = B

banana [ 3 ] . pos . x = -51.500000
banana [ 3 ] . pos . y = 0.600000
banana [ 3 ] . pos . z = 18.500000
banana [ 3 ] . type . x = B

banana [ 4 ] . pos . x = 17.000000
banana [ 4 ] . pos . y = 0.600000
banana [ 4 ] . pos . z = 18.500000
banana [ 4 ] . type . x = B

banana [ 5 ] . pos . x = 32.250000
banana [ 5 ] . pos . y = 0.600000
banana [ 5 ] . pos . z = 13.000000
banana [ 5 ] . type . x = B

banana [ 6 ] . pos . x = -15.750000
banana [ 6 ] . pos . y = 0.600000
banana [ 6 ] . pos . z = 13.000000
banana [ 6 ] . type . x = B

banana [ 7 ] . pos . x = -1.750000
banana [ 7 ] . pos . y = 0.600000
banana [ 7 ] . pos . z = 13.000000
banana [ 7 ] . type . x = B

